State,Talent,Employment 2025,Employment Growth,Workforce Density,Demand Pressure,Projection Base,Projection 2034,Annual Openings,Projected Growth,Annual Openings Rate,Demand Intensity Percentile,Supply Density Percentile,Balance Index,Talent Balance,Skill 1,Skill 2,Skill 3,Skill 4,SOC 15-0000 Salary (USD),SOC 17-0000 Salary (USD),SOC 49-0000 Salary (USD),SOC 51-0000 Salary (USD)
Kansas,Technical,205290,-0.87,14.28%,9.89%,212210,217390,20980,2.44%,9.89%,43.1372549,84.31372549,-41.17647059,Surplus,CAD / CAE,Embedded / Controls,GIS / Infrastructure,Manufacturing / CNC,,94180,61320,52770
Kentucky,Digital,39210,1.4,1.96%,5.98%,39470,41270,2360,4.56%,5.98%,23.52941176,17.64705882,5.882352941,Balanced,Software Engineering,Database / SQL,Cloud Computing,DevOps / Automation,94100,,,
Kentucky,Technical,302040,-2.71,15.10%,10.27%,315720,327360,32420,3.69%,10.27%,64.70588235,92.15686275,-27.45098039,Surplus,CAD / CAE,Embedded / Controls,Manufacturing / CNC,GIS / Infrastructure,,90810,60160,51160
Louisiana,Digital,26330,4.48,1.36%,6.39%,25960,28120,1660,8.32%,6.39%,50.98039216,1.960784314,49.01960784,Shortage,Software Engineering,Database / SQL,Cloud Computing,Data Analytics / Data Science,86500,,,
Louisiana,Technical,228210,0.56,11.79%,9.77%,235400,242800,22990,3.14%,9.77%,37.25490196,52.94117647,-15.68627451,Surplus,CAD / CAE,Embedded / Controls,GIS / Infrastructure,Maintenance / Reliability,,101900,58230,58130
Maine,Digital,15000,3.81,2.34%,6.36%,14780,15930,940,7.78%,6.36%,47.05882353,29.41176471,17.64705882,Shortage,Software Engineering,Database / SQL,Cloud Computing,Data Analytics / Data Science,98380,,,
Maine,Technical,73330,0.29,11.45%,8.85%,75720,73150,6700,-3.39%,8.85%,7.843137255,49.01960784,-41.17647059,Surplus,CAD / CAE,Embedded / Controls,GIS / Infrastructure,Maintenance / Reliability,,97890,63140,54290
Maryland,Digital,139610,0.03,5.05%,6.43%,157060,170590,10100,8.61%,6.43%,54.90196078,94.11764706,-39.21568627,Surplus,Software Engineering,Database / SQL,Cloud Computing,DevOps / Automation,129350,,,
Maryland,Technical,216890,1.92,7.85%,9.33%,233560,243090,21800,4.08%,9.33%,11.76470588,7.843137255,3.921568627,Balanced,CAD / CAE,Embedded / Controls,GIS / Infrastructure,Maintenance / Reliability,,120070,66310,54340
Massachusetts,Digital,153860,-1.8,4.23%,5.99%,158340,167630,9490,5.87%,5.99%,25.49019608,90.19607843,-64.70588235,Surplus,Software Engineering,Database / SQL,Cloud Computing,DevOps / Automation,133220,,,
Massachusetts,Technical,326020,-1.02,8.96%,9.52%,330620,340250,31480,2.91%,9.52%,19.60784314,19.60784314,0.0,Balanced,CAD / CAE,Embedded / Controls,GIS / Infrastructure,Maintenance / Reliability,,116830,70900,55150
Michigan,Digital,126780,0.96,2.88%,5.74%,131270,135860,7540,3.50%,5.74%,7.843137255,52.94117647,-45.09803922,Surplus,Software Engineering,Database / SQL,Cloud Computing,DevOps / Automation,101680,,,
Michigan,Technical,725150,-3.77,16.47%,9.05%,760410,744380,68830,-2.11%,9.05%,9.803921569,96.07843137,-86.2745098,Surplus,CAD / CAE,Embedded / Controls,GIS / Infrastructure,Manufacturing / CNC,,101460,61180,51470
Minnesota,Digital,95850,-1.65,3.25%,5.87%,98330,103080,5770,4.83%,5.87%,13.7254902,70.58823529,-56.8627451,Surplus,Software Engineering,Database / SQL,Cloud Computing,DevOps / Automation,110360,,,
Minnesota,Technical,359760,-2.46,12.20%,9.58%,380940,384240,36480,0.87%,9.58%,25.49019608,64.70588235,-39.21568627,Surplus,CAD / CAE,Embedded / Controls,GIS / Infrastructure,Manufacturing / CNC,,100950,67330,54040
Mississippi,Digital,15920,-3.63,1.37%,7.67%,17590,20750,1350,17.96%,7.67%,92.15686275,3.921568627,88.23529412,Shortage,Software Engineering,Database / SQL,Cloud Computing,Cybersecurity,81070,,,
Mississippi,Technical,170940,-2.11,14.70%,10.69%,177900,189250,19020,6.38%,10.69%,86.2745098,86.2745098,0.0,Balanced,CAD / CAE,Embedded / Controls,Maintenance / Reliability,GIS / Infrastructure,,88780,54740,46910
Missouri,Digital,88550,3.9,3.02%,6.48%,104360,113620,6760,8.87%,6.48%,60.78431373,60.78431373,0.0,Balanced,Software Engineering,Database / SQL,Cloud Computing,DevOps / Automation,98780,,,
Missouri,Technical,350800,-0.61,11.95%,10.13%,377670,389540,38240,3.14%,10.13%,52.94117647,60.78431373,-7.843137255,Balanced,CAD / CAE,Embedded / Controls,GIS / Infrastructure,Maintenance / Reliability,,94950,60490,51970
Montana,Digital,9460,-1.87,1.85%,5.83%,9090,9430,530,3.74%,5.83%,9.803921569,11.76470588,-1.960784314,Balanced,Software Engineering,Database / SQL,Cloud Computing,DevOps / Automation,92660,,,
Montana,Technical,49640,-2.55,9.70%,10.15%,52130,55820,5290,7.08%,10.15%,56.8627451,23.52941176,33.33333333,Shortage,CAD / CAE,GIS / Infrastructure,Embedded / Controls,Maintenance / Reliability,,88990,62660,53930
Nebraska,Digital,31220,-3.67,3.05%,6.46%,35000,38090,2260,8.83%,6.46%,58.82352941,64.70588235,-5.882352941,Balanced,Software Engineering,Database / SQL,Cloud Computing,DevOps / Automation,93780,,,
Nebraska,Technical,131770,0.05,12.86%,10.20%,140350,145710,14320,3.82%,10.20%,62.74509804,76.47058824,-13.7254902,Balanced,CAD / CAE,Embedded / Controls,GIS / Infrastructure,Maintenance / Reliability,,89070,61400,51430
Nevada,Digital,29810,8.8,1.92%,7.05%,28230,31820,1990,12.72%,7.05%,78.43137255,13.7254902,64.70588235,Shortage,Software Engineering,Database / SQL,Cloud Computing,Cybersecurity,99740,,,
Nevada,Technical,136560,0.23,8.80%,11.34%,137840,154830,15630,12.33%,11.34%,98.03921569,15.68627451,82.35294118,Shortage,CAD / CAE,Embedded / Controls,GIS / Infrastructure,Maintenance / Reliability,,98630,64640,50700
New Hampshire,Digital,25440,11.92,3.72%,6.01%,22620,24100,1360,6.54%,6.01%,27.45098039,82.35294118,-54.90196078,Surplus,Software Engineering,Database / SQL,Cloud Computing,DevOps / Automation,116440,,,
New Hampshire,Technical,80810,-0.83,11.83%,9.60%,82160,84840,7890,3.26%,9.60%,27.45098039,54.90196078,-27.45098039,Surplus,CAD / CAE,Embedded / Controls,GIS / Infrastructure,Maintenance / Reliability,,102020,66790,54950
New Jersey,Digital,154820,-5.84,3.61%,5.90%,167520,176120,9890,5.13%,5.90%,17.64705882,78.43137255,-60.78431373,Surplus,Software Engineering,Database / SQL,Cloud Computing,DevOps / Automation,125030,,,
New Jersey,Technical,363220,2.25,8.48%,10.00%,373740,385930,37390,3.26%,10.00%,47.05882353,11.76470588,35.29411765,Shortage,CAD / CAE,Embedded / Controls,Maintenance / Reliability,GIS / Infrastructure,,111870,69200,52440
New Mexico,Digital,20520,-13.71,2.36%,7.06%,21380,24140,1510,12.91%,7.06%,80.39215686,31.37254902,49.01960784,Shortage,Software Engineering,Database / SQL,Cloud Computing,Cybersecurity,105350,,,
New Mexico,Technical,93740,4.39,10.76%,9.75%,83360,88410,8130,6.06%,9.75%,33.33333333,38.23529412,-4.901960784,Balanced,CAD / CAE,Embedded / Controls,GIS / Infrastructure,Maintenance / Reliability,,130890,57860,51460
New York,Digital,314780,4.93,3.25%,5.73%,319530,330790,18300,3.52%,5.73%,5.882352941,68.62745098,-62.74509804,Surplus,Software Engineering,Database / SQL,Cloud Computing,DevOps / Automation,133590,,,
New York,Technical,721000,-0.87,7.44%,8.74%,761910,728850,66600,-4.34%,8.74%,3.921568627,3.921568627,0.0,Balanced,CAD / CAE,Embedded / Controls,Maintenance / Reliability,GIS / Infrastructure,,105230,69020,53920
North Carolina,Digital,195720,4.36,3.96%,6.58%,185750,205070,12220,10.40%,6.58%,64.70588235,86.2745098,-21.56862745,Surplus,Software Engineering,Database / SQL,Cloud Computing,DevOps / Automation,112980,,,
North Carolina,Technical,600740,-0.17,12.16%,10.07%,622290,642650,62640,3.27%,10.07%,49.01960784,62.74509804,-13.7254902,Balanced,CAD / CAE,Embedded / Controls,GIS / Infrastructure,Maintenance / Reliability,,97700,58930,47110
North Dakota,Digital,6920,-9.42,1.61%,6.27%,7810,8560,490,9.60%,6.27%,37.25490196,7.843137255,29.41176471,Shortage,Software Engineering,Database / SQL,Cloud Computing,DevOps / Automation,88360,,,
North Dakota,Technical,52700,-0.27,12.27%,10.20%,54410,58190,5550,6.95%,10.20%,60.78431373,68.62745098,-7.843137255,Balanced,CAD / CAE,Embedded / Controls,GIS / Infrastructure,Maintenance / Reliability,,92820,68580,58080
Ohio,Digital,151340,2.28,2.73%,5.96%,144060,151760,8590,5.34%,5.96%,21.56862745,47.05882353,-25.49019608,Surplus,Software Engineering,Database / SQL,Cloud Computing,DevOps / Automation,102950,,,
Ohio,Technical,776700,-1.02,13.99%,9.36%,803620,796950,75250,-0.83%,9.36%,13.7254902,80.39215686,-66.66666667,Surplus,CAD / CAE,Embedded / Controls,Manufacturing / CNC,GIS / Infrastructure,,98740,61500,50490
Oklahoma,Digital,40490,4.36,2.37%,6.26%,41370,44070,2590,6.53%,6.26%,35.29411765,33.33333333,1.960784314,Balanced,Software Engineering,Database / SQL,Cloud Computing,Cybersecurity,90640,,,
Oklahoma,Technical,217680,-0.97,12.75%,9.52%,225980,229110,21520,1.39%,9.52%,21.56862745,74.50980392,-52.94117647,Surplus,CAD / CAE,Embedded / Controls,Maintenance / Reliability,GIS / Infrastructure,,98300,59320,49460
Oregon,Digital,63890,2.93,3.25%,6.50%,63360,69480,4120,9.66%,6.50%,62.74509804,66.66666667,-3.921568627,Balanced,Software Engineering,Database / SQL,Cloud Computing,DevOps / Automation,120570,,,
Oregon,Technical,222520,-2.67,11.31%,10.32%,228460,241000,23570,5.49%,10.32%,68.62745098,47.05882353,21.56862745,Shortage,CAD / CAE,Embedded / Controls,GIS / Infrastructure,Manufacturing / CNC,,117900,68390,55120
Pennsylvania,Digital,181360,3.93,2.99%,6.35%,183560,198320,11650,8.04%,6.35%,45.09803922,56.8627451,-11.76470588,Balanced,Software Engineering,Database / SQL,Cloud Computing,DevOps / Automation,105590,,,
Pennsylvania,Technical,682040,-0.94,11.25%,9.76%,716060,732930,69890,2.36%,9.76%,35.29411765,41.17647059,-5.882352941,Balanced,CAD / CAE,Embedded / Controls,GIS / Infrastructure,Maintenance / Reliability,,98360,61750,51330
Rhode Island,Digital,16390,-11.02,3.27%,6.22%,18160,19420,1130,6.94%,6.22%,33.33333333,72.54901961,-39.21568627,Surplus,Software Engineering,Database / SQL,Cloud Computing,DevOps / Automation,112970,,,
Rhode Island,Technical,52940,-2.45,10.56%,9.84%,60090,61840,5910,2.91%,9.84%,41.17647059,35.29411765,5.882352941,Balanced,CAD / CAE,Embedded / Controls,GIS / Infrastructure,Maintenance / Reliability,,113560,63850,54610
South Carolina,Digital,57250,6.0,2.48%,7.03%,54230,61330,3810,13.09%,7.03%,76.47058824,37.25490196,39.21568627,Shortage,Software Engineering,Database / SQL,Cloud Computing,DevOps / Automation,103660,,,
South Carolina,Technical,327760,-1.21,14.22%,10.85%,344080,374610,37320,8.87%,10.85%,92.15686275,82.35294118,9.803921569,Balanced,CAD / CAE,Embedded / Controls,GIS / Infrastructure,Maintenance / Reliability,,97700,57610,50540
South Dakota,Digital,9670,0.1,2.11%,6.39%,10010,10950,640,9.39%,6.39%,49.01960784,23.52941176,25.49019608,Shortage,Software Engineering,Database / SQL,Cloud Computing,DevOps / Automation,92550,,,
South Dakota,Technical,57890,-0.34,12.66%,10.69%,59100,64170,6320,8.58%,10.69%,88.23529412,72.54901961,15.68627451,Shortage,CAD / CAE,GIS / Infrastructure,Embedded / Controls,Maintenance / Reliability,,86530,60920,48830
Tennessee,Digital,82790,1.47,2.53%,6.90%,79590,89890,5490,12.94%,6.90%,70.58823529,39.21568627,31.37254902,Shortage,Software Engineering,Database / SQL,Cloud Computing,DevOps / Automation,96500,,,
Tennessee,Technical,450710,-1.02,13.75%,10.63%,469360,500760,49880,6.69%,10.63%,78.43137255,78.43137255,0.0,Balanced,CAD / CAE,Embedded / Controls,GIS / Infrastructure,Maintenance / Reliability,,94240,59360,48390
Texas,Digital,511360,3.1,3.63%,8.08%,452810,552660,36600,22.05%,8.08%,96.07843137,80.39215686,15.68627451,Shortage,Software Engineering,Database / SQL,Cloud Computing,DevOps / Automation,113980,,,
Texas,Technical,1587400,2.71,11.28%,10.75%,1557690,1711390,167410,9.87%,10.75%,90.19607843,43.1372549,47.05882353,Shortage,CAD / CAE,Embedded / Controls,GIS / Infrastructure,Maintenance / Reliability,,107610,60240,49790
Utah,Digital,73370,1.82,4.23%,7.68%,71830,85760,5520,19.39%,7.68%,94.11764706,88.23529412,5.882352941,Balanced,Software Engineering,Database / SQL,Cloud Computing,DevOps / Automation,109770,,,
Utah,Technical,207150,1.33,11.94%,10.63%,209310,225510,22250,7.74%,10.63%,80.39215686,58.82352941,21.56862745,Shortage,CAD / CAE,Embedded / Controls,GIS / Infrastructure,Maintenance / Reliability,,99730,61420,50810
Vermont,Digital,7720,-4.81,2.54%,5.89%,7980,8110,470,1.63%,5.89%,15.68627451,41.17647059,-25.49019608,Surplus,Software Engineering,Database / SQL,Cloud Computing,DevOps / Automation,105240,,,
Vermont,Technical,31920,-4.66,10.50%,8.79%,34020,33460,2990,-1.65%,8.79%,5.882352941,33.33333333,-27.45098039,Surplus,CAD / CAE,Embedded / Controls,GIS / Infrastructure,Maintenance / Reliability,,99150,63840,53430
Virginia,Digital,248190,4.14,6.04%,7.62%,245350,281250,18690,14.63%,7.62%,90.19607843,96.07843137,-5.882352941,Balanced,Software Engineering,Database / SQL,Cloud Computing,DevOps / Automation,130240,,,
Virginia,Technical,395400,1.31,9.62%,9.51%,411750,422600,39160,2.64%,9.51%,15.68627451,21.56862745,-5.882352941,Balanced,CAD / CAE,Embedded / Controls,GIS / Infrastructure,Maintenance / Reliability,,108500,63090,50850
Washington,Digital,239720,12.44,6.75%,8.36%,222010,251310,18570,13.20%,8.36%,98.03921569,100.0,-1.960784314,Balanced,Software Engineering,Database / SQL,Cloud Computing,DevOps / Automation,145450,,,
Washington,Technical,371880,-1.63,10.47%,10.09%,414350,430490,41810,3.90%,10.09%,50.98039216,31.37254902,19.60784314,Shortage,CAD / CAE,Embedded / Controls,GIS / Infrastructure,Maintenance / Reliability,,119320,75160,62450
West Virginia,Digital,14520,8.12,2.07%,7.02%,14240,15940,1000,11.94%,7.02%,74.50980392,19.60784314,54.90196078,Shortage,Software Engineering,Database / SQL,Cloud Computing,DevOps / Automation,92890,,,
West Virginia,Technical,79170,-1.15,11.28%,9.64%,78450,80970,7560,3.21%,9.64%,31.37254902,45.09803922,-13.7254902,Balanced,CAD / CAE,Embedded / Controls,Maintenance / Reliability,GIS / Infrastructure,,93520,56380,51260
Wisconsin,Digital,81570,-1.06,2.77%,6.29%,86200,92610,5420,7.44%,6.29%,39.21568627,49.01960784,-9.803921569,Balanced,Software Engineering,Database / SQL,Cloud Computing,DevOps / Automation,100160,,,
Wisconsin,Technical,458670,-2.86,15.59%,10.13%,483410,496860,48990,2.78%,10.13%,54.90196078,94.11764706,-39.21568627,Surplus,CAD / CAE,Embedded / Controls,Manufacturing / CNC,GIS / Infrastructure,,91090,63410,51980
Wyoming,Digital,4430,8.85,1.58%,6.17%,3890,4350,240,11.83%,6.17%,31.37254902,5.882352941,25.49019608,Shortage,Software Engineering,Database / SQL,Cloud Computing,DevOps / Automation,95500,,,
Wyoming,Technical,35190,-0.87,12.53%,10.38%,36240,39650,3760,9.41%,10.38%,70.58823529,70.58823529,0.0,Balanced,CAD / CAE,Embedded / Controls,Maintenance / Reliability,GIS / Infrastructure,,101920,66890,66180
